service_id,date,exception_type
25242ISB_24201,20260314,1
25242ISB_24201,20260321,1
25242ISB_24201,20260328,1
25242ISB_24201,20260404,1
25242ISB_24201,20260411,1
25242ISB_24201,20260418,1
25242ISB_24201,20260425,1
25242ISB_24201,20260502,1
25242ISB_24201,20260509,1
25242ISB_24201,20260516,1
25242ISB_24201,20260523,1
25242ISB_24201,20260530,1
25242ISB_24201,20260606,1
25242ISB_24201,20260613,1
25242ISB_24201,20260620,1
25242ISB_24201,20260627,1
25242ISB_24202,20251220,1
25242ISB_24202,20251227,1
25242ISB_24202,20260103,1
25242ISB_24202,20260110,1
25242ISB_24202,20260117,1
25242ISB_24202,20260124,1
25242ISB_24202,20260131,1
25242ISB_24202,20260207,1
25242ISB_24202,20260214,1
25242ISB_24202,20260221,1
25242ISB_24202,20260228,1
25242ISB_24202,20260307,1
25242ISB_24202,20260314,1
25242ISB_24202,20260321,1
25242ISB_24202,20260328,1
25242ISB_24202,20260404,1
25242ISB_24202,20260411,1
25242ISB_24202,20260418,1
25242ISB_24202,20260425,1
25242ISB_24202,20260502,1
25242ISB_24202,20260509,1
25242ISB_24202,20260516,1
25242ISB_24202,20260523,1
25242ISB_24202,20260530,1
25242ISB_24202,20260606,1
25242ISB_24202,20260613,1
25242ISB_24202,20260620,1
25242ISB_24202,20260627,1
25242ISB_24203,20251220,1
25242ISB_24203,20251227,1
25242ISB_24203,20260103,1
25242ISB_24203,20260110,1
25242ISB_24203,20260117,1
25242ISB_24203,20260124,1
25242ISB_24203,20260131,1
25242ISB_24203,20260207,1
25242ISB_24203,20260214,1
25242ISB_24203,20260221,1
25242ISB_24203,20260228,1
25242ISB_24203,20260307,1
25242ISB_24203,20260314,1
25242ISB_24203,20260321,1
25242ISB_24203,20260328,1
25242ISB_24203,20260404,1
25242ISB_24203,20260411,1
25242ISB_24203,20260418,1
25242ISB_24203,20260425,1
25242ISB_24203,20260502,1
25242ISB_24203,20260509,1
25242ISB_24203,20260516,1
25242ISB_24203,20260523,1
25242ISB_24203,20260530,1
25242ISB_24203,20260606,1
25242ISB_24203,20260613,1
25242ISB_24203,20260620,1
25242ISB_24203,20260627,1
25EISA_9911,20251220,1
25EISA_9911,20251227,1
25EISA_9911,20260103,1
25EISA_9911,20260110,1
25EISA_9911,20260117,1
25EISA_9911,20260124,1
25EISA_9911,20260131,1
25EISA_9911,20260207,1
25EISA_9911,20260214,1
25EISA_9911,20260221,1
25EISA_9911,20260228,1
25EISA_9911,20260307,1
25EISA_9911,20260314,1
